tick,population,active,withdrawn,dead_cumulative,births,deaths,mean_stress,mean_W,mean_density,max_cell_count,civilization_phase
58,20,19,1,0,0,0,0.0,0.5119103647462375,0.179,2,expansion
59,20,19,1,0,0,0,0.0,0.515136714374272,0.19059523809523807,2,expansion
60,20,19,1,0,0,0,0.0,0.5145916884104929,0.19761904761904758,2,expansion
61,20,19,1,0,0,0,0.0,0.5173993437749536,0.18138095238095236,2,expansion
62,20,19,1,0,0,0,0.0,0.5142035627560809,0.17209523809523808,2,expansion
63,20,19,1,0,0,0,0.0,0.5097287842161493,0.15957142857142856,2,expansion
64,20,19,1,0,0,0,0.0,0.5138014714052155,0.1657857142857143,2,expansion
65,20,19,1,0,0,0,0.0,0.5082518674812956,0.144,2,expansion
66,20,19,1,0,0,0,0.0,0.5088694918186388,0.15145238095238095,2,expansion
67,20,19,1,0,0,0,0.0,0.5168390525451564,0.17169047619047617,2,expansion
68,20,19,1,0,0,0,0.0,0.5094312509324455,0.14869047619047618,3,expansion
69,20,19,1,0,0,0,0.0,0.5041911895869087,0.15097619047619046,2,expansion
70,20,19,1,0,0,0,0.0,0.5145595385697015,0.1812142857142857,2,expansion
71,20,19,1,0,0,0,0.0,0.5149793415034163,0.15754761904761902,4,expansion
72,20,19,1,0,0,0,0.0,0.5127623710328386,0.15869047619047616,4,expansion
73,20,19,1,0,0,0,0.0,0.5124627918768554,0.14097619047619048,4,expansion
74,20,19,1,0,0,0,0.0,0.5053958519413727,0.14254761904761903,4,expansion
75,20,19,1,0,0,0,0.0,0.5147987938364615,0.17121428571428565,4,expansion
76,20,19,1,0,0,0,0.0,0.5160628796298277,0.17819047619047615,3,expansion
77,20,19,1,0,0,0,0.0,0.5129284203200725,0.16819047619047617,3,expansion
78,20,19,1,0,0,0,0.0,0.5128785163466186,0.177047619047619,2,expansion
79,20,19,1,0,0,0,0.0,0.5148682603239,0.1968095238095238,1,expansion
80,20,19,1,0,0,0,0.0,0.5118402131775708,0.19252380952380949,2,expansion
81,20,19,1,0,0,0,0.0,0.5029626270591797,0.1902142857142857,2,expansion
82,20,19,1,0,0,0,0.0,0.5014555513162582,0.19057142857142853,2,expansion
83,20,19,1,0,0,0,0.0,0.5065912109397332,0.19019047619047613,2,expansion
84,20,19,1,0,0,0,0.0,0.4994969840652213,0.17883333333333326,2,expansion
85,20,19,1,0,0,0,0.0,0.5050527991035605,0.19695238095238088,1,expansion
86,20,19,1,0,0,0,0.0,0.5045329762212847,0.1758809523809523,2,expansion
87,20,19,1,0,0,0,0.0,0.5090093964837298,0.18949999999999995,2,expansion
88,20,19,1,0,0,0,0.0,0.5070833422097121,0.18388095238095237,2,expansion
89,20,19,1,0,0,0,0.0,0.5076010098035801,0.18319047619047615,2,expansion
90,20,19,1,0,0,0,0.0,0.49917269939653386,0.16973809523809522,2,expansion
91,20,19,1,0,0,0,0.0,0.49747811374790196,0.18721428571428567,2,expansion
92,20,19,1,0,0,0,0.0,0.5022644611558785,0.19152380952380949,2,expansion
93,20,19,1,0,0,0,0.0,0.5042780067208774,0.18095238095238092,2,expansion
94,20,19,1,0,0,0,0.0,0.5052176440101739,0.19499999999999995,2,expansion
